 [97605, )
 [96918, )
 [96768, )
 [96415, )
 [93940, )
 [93727, )
 [91158, )
 [89420,90311)
 [89156, )
 [89012,99966)
 [88757,92223)
 [88743, )
 [87844, )
 [86685, )
 [85458, )
 [83982,86106)
 [83177,96484)
 [82901,85354)
 [82750, )
 [82607, )
 [81965, )
 [80603, )
 [79604, )
 [79413,82766)
 [79324,94761)
 [79165, )
 [78591, )
 [78285, )
 [78282, )
 [77789,98128)
 [77752, )
 [76278, )
 [75662, )
 [75536, )
 [75044,93927)
 [74481, )
 [74167, )
 [73552,99617)
 [73396, )
 [73246,84735)
 [72927, )
 [72671,91332)
 [72297, )
 [72260, )
 [72128,80844)
 [70761,70867)
 [70614,73931)
 [70405,87277)
 [70349,85350)
 [70125, )
 [70010,92268)
 [69701,75709)
 [69514, )
 [69481,72124)
 [69304,80307)
 [69275, )
 [69143, )
 [69085,73543)
 [68901, )
 [68692, )
 [68542, )
 [68242, )
 [68119, )
 [68036, )
 [67952, )
 [67877, )
 [66993, )
 [66979,71900)
 [66917,90116)
 [66896,67265)
 [66673, )
 [66417, )
 [66381,72261)
 [66019, )
 [65953, )
 [65846,90582)
 [65843,73871)
 [65693, )
 [65681,75604)
 [65487,75411)
 [65176, )
 [64855,72085)
 [64685,78124)
 [64407, )
 [64291, )
 [64248,77567)
 [64077,86012)
 [63987,75499)
 [63938,65501)
 [63826,83626)
 [63778, )
 [63498,69259)
 [63446, )
 [63288,77399)
 [63241,93964)
 [63037, )
 [62896,83288)
 [62819, )
 [62746, )
 [62707, )
 [62627,79442)
 [62482, )
 [62212,65163)
 [62156, )
 [61674, )
 [61415,66777)
 [61133,62277)
 [61118,91008)
 [60919,80292)
 [60838,76087)
 [60798, )
 [60792,77649)
 [60732,64579)
 [60438,96828)
 [60306, )
 [60287,65129)
 [60217,66591)
 [60125,96960)
 [60096,74634)
 [59962,63822)
 [59873,75457)
 [59718,66307)
 [59648,67476)
 [59601,61461)
 [59565, )
 [59380,76410)
 [59260,70891)
 [59176,96371)
 [58981,72739)
 [58934, )
 [58929, )
 [58915,68007)
 [58894, )
 [58884, )
 [58659, )
 [58612,81286)
 [58590,60016)
 [58359,64611)
 [58341,65139)
 [58280, )
 [58262, )
 [58183,77110)
 [58149, )
 [58138,73270)
 [57972,60499)
 [57919,66122)
 [57787,68896)
 [57774,62026)
 [57724,92133)
 [57632,74798)
 [57572,78453)
 [57504,62897)
 [57304,91095)
 [57298, )
 [57107,99665)
 [57107, )
 [57097,95649)
 [57030, )
 [57029, )
 [57009,57174)
 [56954,63183)
 [56914,61028)
 [56899,83048)
 [56820,94527)
 [56779, )
 [56713,60422)
 [56603,92794)
 [56588,89975)
 [56403,87489)
 [56269,68013)
 [56239,76294)
 [56217,58013)
 [56013,57702)
 [55822,94125)
 [55769,65969)
 [55667,90905)
 [55605, )
 [55596,80489)
 [55569,70938)
 [55520,62148)
 [55421,71256)
 [55368,61144)
 [55284,65195)
 [55230, )
 [55009,56313)
 [54732,68378)
 [54728, )
 [54666, )
 [54641,70815)
 [54580, )
 [54566,68346)
 [54510,62542)
 [54457,68801)
 [54385,94191)
 [54378,69666)
 [54301,68470)
 [54172,60877)
 [54057, )
 [53981,61734)
 [53901,58069)
 [53876, )
 [53714,56790)
 [53581,63520)
 [53529,60990)
 [53409,61466)
 [53402,56822)
 [53389,82093)
 [53386,62034)
 [53364, )
 [53274,74783)
 [53168, )
 [53149, )
 [53085,69729)
 [53066,98511)
 [52860,56544)
 [52784,57491)
 [52777,57467)
 [52764,88655)
 [52706, )
 [52692,54445)
 [52608,60551)
 [52605,56480)
 [52534,57101)
 [52439,67816)
 [52399,74100)
 [52389,61185)
 [52350, )
 [52300,53963)
 [52292,89882)
 [52193,95560)
 [52189, )
 [52167,58287)
 [52105,91617)
 [52018,71862)
 [51960,60250)
 [51958,61828)
 [51940,91431)
 [51844, )
 [51631, )
 [51567,70027)
 [51494,57646)
 [51470,75837)
 [51430,61610)
 [51405,66395)
 [51373, )
 [51372,53939)
 [51348,62998)
 [51336,75380)
 [51336, )
 [51165,81627)
 [51135,79864)
 [51055,85654)
 [51014,61849)
 [50845,60369)
 [50784,62133)
 [50661,52295)
 [50648,73221)
 [50556, )
 [50494, )
 [50477,55420)
 [50459,82187)
 [50434, )
 [50415,63318)
 [50403,68416)
 [50331,64838)
 [50270,92280)
 [50204,52239)
 [50158,63792)
 [50151,68644)
 [50143, )
 [50027,88087)
 [50006,80635)
 [49972,88616)
 [49903,53617)
 [49890,73013)
 [49872,57809)
 [49870,52458)
 [49830,96178)
 [49576,70055)
 [49571, )
 [49536,52746)
 [49535,51182)
 [49507,57719)
 [49374, )
 [49360,77324)
 [49299,51256)
 [49110,57955)
 [49079,81318)
 [49015,59544)
 [49000,54066)
 [48985,55281)
 [48874,48994)
 [48843,71712)
 [48843, )
 [48780,48962)
 [48772,55334)
 [48697, )
 [48687,59463)
 [48684,56352)
 [48609,49224)
 [48584,71255)
 [48549,48961)
 [48540,55538)
 [48435,78533)
 [48388, )
 [48365,67253)
 [48276,66544)
 [48273,51277)
 [48259,70082)
 [48217,68520)
 [48212,59432)
 [48183,54812)
 [48175,56099)
 [48150,54312)
 [48129,62812)
 [48056,63460)
 [47984,51006)
 [47881,48061)
 [47877, )
 [47817,63537)
 [47786,51315)
 [47770,54265)
 [47742, )
 [47720, )
 [47711,50052)
 [47697,51017)
 [47642,61431)
 [47634, )
 [47621,85695)
 [47606,71127)
 [47597,93776)
 [47518,57629)
 [47517,82661)
 [47495,52225)
 [47415,49212)
 [47414,63331)
 [47395,53643)
 [47378,56214)
 [47336, )
 [47306,62364)
 [47286,61354)
 [47285,79610)
 [47279,57228)
 [47257,61813)
 [47228, )
 [47226, )
 [47217,96657)
 [47175,50880)
 [47169, )
 [47167,56022)
 [47087,60799)
 [47031, )
 [46938,56733)
 [46886,49970)
 [46872, )
 [46852, )
 [46780,50883)
 [46715,56447)
 [46705,49503)
 [46695,88142)
 [46551, )
 [46507,58116)
 [46495,46655)
 [46487,73204)
 [46461,59514)
 [46441,79707)
 [46438,65211)
 [46392,55923)
 [46387,52428)
 [46337, )
 [46332,55932)
 [46308,54683)
 [46250,98079)
 [46185, )
 [46181, )
 [46164,60484)
 [46151,75008)
 [46149,51289)
 [46143,54484)
 [46103,54380)
 [46102, )
 [46099,53648)
 [46068, )
 [46034,47109)
 [46014,56697)
 [46014,73326)
 [45986,55417)
 [45975,94119)
 [45970, )
 [45943, )
 [45933,47613)
 [45856,70268)
 [45768,68617)
 [45686,48626)
 [45683,54936)
 [45643,55229)
 [45633,66529)
 [45613,59043)
 [45499,50859)
 [45461,47727)
 [45461,48750)
 [45445,67425)
 [45420,45826)
 [45419,50874)
 [45388,48839)
 [45356, )
 [45333,50776)
 [45285,57531)
 [45240, )
 [45222,81944)
 [45162,52104)
 [45155,63252)
 [45134,54406)
 [45119, )
 [45118,68335)
 [45100,77337)
 [45100, )
 [45088,58803)
 [45065, )
 [45045,57733)
 [45037, )
 [45023,45438)
 [44947,53601)
 [44915,54558)
 [44884,48603)
 [44868,80448)
 [44861,44864)
 [44858, )
 [44823, )
 [44816,46889)
 [44816,46057)
 [44747,56226)
 [44720,70201)
 [44676,74973)
 [44649,51248)
 [44646,57544)
 [44643,58286)
 [44639,64152)
 [44593,64902)
 [44565,48527)
 [44554,67706)
 [44543,48467)
 [44540, )
 [44526, )
 [44456,54441)
 [44452, )
 [44440,70187)
 [44413,45814)
 [44382,50870)
 [44373, )
 [44370,50413)
 [44357, )
 [44327,47626)
 [44323,75017)
 [44322,45620)
 [44313,66301)
 [44304,45709)
 [44298,50010)
 [44286,44338)
 [44226,54426)
 [44206,72895)
 [44195,52009)
 [44168,51280)
 [44113, )
 [44102, )
 [44082,71879)
 [44056,67962)
 [44033,52376)
 [44000,67627)
 [43986, )
 [43952,55170)
 [43952,83219)
 [43941,58626)
 [43931,45313)
 [43919,52220)
 [43917,44148)
 [43913,47911)
 [43906,44724)
 [43906,52266)
 [43905,52370)
 [43901,52994)
 [43887,71610)
 [43875,45159)
 [43860,96175)
 [43844,69869)
